[2024-12-13 17:44:23.819811] NIDS service started. Monitoring network traffic.
[2024-12-13 18:05:05.697378] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:05.704241] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.727694] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.738160] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.748043] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.760044] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.769148] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.776914] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.798881] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.812129] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.833515] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.849531] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:07.857678] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:07.864088] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:07.868138] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:07.878631] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:07.891913] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:07.899390] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:07.942898] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:07.961476] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:07.981339] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:07.994848] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:09.016972] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:09.030601] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:09.034029] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:09.046349] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:09.057172] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:09.063774] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:09.100354] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:09.115054] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:09.120815] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:09.131189] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:10.154305] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:10.163154] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:10.169557] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:10.182461] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:10.187543] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:10.192312] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:10.234283] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:10.245096] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:10.263395] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:10.292595] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:11.314150] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:11.319985] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:11.327704] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:11.345322] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:11.361535] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:11.375224] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:11.386758] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:11.404856] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:11.420146] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:11.435395] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:12.448780] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:12.456771] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:12.463881] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:12.477677] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:12.486504] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:12.489414] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:12.524484] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:12.544995] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:12.568216] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:12.583502] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:13.610079] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:13.631461] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:13.640867] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:13.649102] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:13.658087] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:13.668635] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:13.679334] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:13.702454] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:13.719309] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:13.727346] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:13.751312] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:14.752876] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:14.757618] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:14.765001] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:14.788665] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:14.799590] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:14.816148] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:14.860526] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:14.887092] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:14.897616] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:14.901682] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:15.927813] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:15.932156] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:15.948094] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:15.963222] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:15.973290] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:15.979009] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:16.023228] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:16.035687] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:16.042275] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:16.056743] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:16.064537] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:17.085491] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:17.093717] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:17.096413] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:17.112740] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:17.124950] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:17.131602] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:17.177174] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:17.188475] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:17.202895] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:17.214810] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:17.226494] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:18.224987] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:18.236702] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:18.247152] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:18.259891] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:18.262598] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:18.268984] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:18.296913] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:18.308238] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:18.324361] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:18.335764] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:18.348068] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:19.380865] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:19.386886] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:19.389940] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:19.407517] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:19.415101] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:19.417376] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:19.443905] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:19.455860] [ALERT] Possible SSH brute-force from 172.22.0.1
